"state","year","grade","score","median_income","total_pop","poverty_rate","child_poverty_rate","unemployment_rate","pct_black","pct_hispanic","bach_or_higher_rate","no_computer_rate","internet_rate","post2020"
"ALASKA",2013,4,209.347288173954,70760,704041,0.0987357270386242,0.133779590245171,0.0875327194695792,0.0330271714081042,0.0594627913304716,0.275002696450151,NA,NA,0
"ALABAMA",2013,4,218.57595339188,43253,4682976,0.185914042694218,0.269377482083044,0.10780747500215,0.261635867235836,0.0392338262617473,0.226312404136361,NA,NA,0
"ARKANSAS",2013,4,218.523885266815,40768,2849641,0.192069106248822,0.278617332928207,0.0887085149491427,0.154122785097954,0.0655437485021489,0.201035963882236,NA,NA,0
"ARIZONA",2013,4,213.134131480866,49774,6333791,0.178708296500469,0.25464586563113,0.104126552797586,0.0390067260798836,0.298771101082874,0.26874444634942,NA,NA,0
"CALIFORNIA",2013,4,212.545967893063,61094,36913404,0.159438479312284,0.221484564386156,0.115326799903789,0.0571797087143239,0.378934024082999,0.306727946543469,NA,NA,0
"COLORADO",2013,4,226.663219629357,58433,5002589,0.132106395308509,0.174834725466134,0.0845301763475564,0.0377502598485075,0.207841496414862,0.37028750439317,NA,NA,0
"CONNECTICUT",2013,4,229.58159936534,69461,3473255,0.102021878612426,0.135569644292238,0.0977934189724638,0.0942520582180686,0.138671840663519,0.364569202962155,NA,NA,0
"DISTRICT OF COLUMBIA",2013,4,205.613936927868,65830,585525,0.186499295504035,0.286813207946307,0.110099358784316,0.493851019824951,0.0960312962666964,0.523540170157585,NA,NA,0
"DELAWARE",2013,4,225.77165116252,59878,883004,0.117364134250807,0.173427559031672,0.0889584988428724,0.209536945509144,0.083777131497084,0.28858741139853,NA,NA,0
"FLORIDA",2013,4,227.46317661052,46956,18681565,0.163412808295236,0.235949625181323,0.117869405755493,0.153263741598466,0.228897611019469,0.264006848731327,NA,NA,0
"GEORGIA",2013,4,221.836712514568,49179,9542869,0.181987199027881,0.253094081335957,0.113507960216523,0.302816383849942,0.0892774486548329,0.279582547856122,NA,NA,0
"HAWAII",2013,4,214.843879930676,67402,1340061,0.111585218881827,0.153963866949828,0.0707703028367353,0.0164898880910966,0.0931273604989617,0.301094522908879,NA,NA,0
"IOWA",2013,4,223.815804634611,51843,2963129,0.123995276614687,0.161098607645943,0.0575948318600825,0.0292190861676516,0.0514965781816674,0.257420490951138,NA,NA,0
"IDAHO",2013,4,219.302985951792,46767,1552767,0.154754705631946,0.192617124163738,0.088015258475803,0.00522116203223011,0.114251050295447,0.250655879537957,NA,NA,0
"ILLINOIS",2013,4,218.540183872207,56797,12547066,0.141254776216209,0.199254560128394,0.104586161145591,0.142047190679978,0.160384273592188,0.314439256010084,NA,NA,0
"INDIANA",2013,4,225.332340846939,48248,6317159,0.153531199705437,0.218373119145563,0.0962006248179901,0.0897286987396968,0.0615190408513704,0.23192023814723,NA,NA,0
"KANSAS",2013,4,223.386368779104,51332,2784505,0.137482245497853,0.186701976865925,0.069961217959893,0.0559355003143188,0.107430441053977,0.302601067021259,NA,NA,0
"KENTUCKY",2013,4,224.427540486587,43036,4230912,0.188186849549222,0.260515687915521,0.0980636522613866,0.0772933412789163,0.0312610846271083,0.21525628993429,NA,NA,0
"LOUISIANA",2013,4,210.454963224321,44874,4438263,0.19079085669326,0.270014899417568,0.0878455473352765,0.318378543807662,0.0442527180575696,0.21833976814528,NA,NA,0
"MASSACHUSETTS",2013,4,232.373155972773,66866,6375042,0.113779799411518,0.14865108864624,0.088875070670731,0.0626680341035612,0.0992970841436971,0.393800626685709,NA,NA,0
"MARYLAND",2013,4,232.055973147422,73538,5693236,0.0980688311533195,0.128903089353791,0.0817653639348995,0.290026959537041,0.0845534313548209,0.368080978335267,NA,NA,0
"MAINE",2013,4,224.833289019918,48453,1293306,0.135794622463671,0.185023649867979,0.0768454915723324,0.0106405083112503,0.0135102987231992,0.279471334628812,NA,NA,0
"MICHIGAN",2013,4,217.36516772932,48411,9665127,0.16823182975247,0.236094580217367,0.126860691313382,0.138603462742367,0.0452751060959863,0.259336674053534,NA,NA,0
"MINNESOTA",2013,4,227.030741772012,59836,5223936,0.114547919423209,0.146918281477817,0.0712456180134499,0.0514484623411011,0.0480846114433387,0.326025290743617,NA,NA,0
"MISSOURI",2013,4,222.334185909416,47380,5826484,0.154626529481588,0.216284830974292,0.0880911811065606,0.11418132495403,0.036573721255657,0.261594190587737,NA,NA,0
"MISSISSIPPI",2013,4,208.518536453726,39031,2880870,0.226779063269082,0.3236067247611,0.111007573772834,0.370420360700762,0.027355223872575,0.201231941859435,NA,NA,0
"MONTANA",2013,4,222.982749322942,46230,974000,0.152492813141684,0.200879315945265,0.0732480178428146,0.00394670693823268,0.0305341523843478,0.286786430207671,NA,NA,0
"NORTH CAROLINA",2013,4,222.227715159886,46334,9396989,0.174884635919016,0.248922772879024,0.110748619343118,0.211412046774658,0.0854663270951926,0.272690855306052,NA,NA,0
"NORTH DAKOTA",2013,4,224.083385001522,53741,665576,0.119344748007741,0.141250618709784,0.0328371882393052,0.0128939474992788,0.0232740536489118,0.272056195316021,NA,NA,0
"NEBRASKA",2013,4,223.252785111637,51672,1787452,0.127997283283691,0.174301324040575,0.0571690653988269,0.0446388379827598,0.0944291047308763,0.285438893902228,NA,NA,0
"NEW HAMPSHIRE",2013,4,231.998366395397,64916,1278502,0.0867100716307053,0.111414992501576,0.0695949431535789,0.0110175254004219,0.0294252981607388,0.336809057469905,NA,NA,0
"NEW JERSEY",2013,4,228.719744067642,71629,8657485,0.104023628109087,0.149322223198759,0.101099949738488,0.12776496007996,0.181548493128599,0.358145633986523,NA,NA,0
"NEW MEXICO",2013,4,205.756405354204,44927,2028611,0.203982429356836,0.288509183940964,0.0969283185056863,0.0177368186592685,0.466862443264889,0.258063031600418,NA,NA,0
"NEVADA",2013,4,213.755313618138,52800,2690659,0.149894133741957,0.215863646334598,0.124678767549436,0.0791588921293478,0.268893499278039,0.223523480716956,NA,NA,0
"NEW YORK",2013,4,223.81336257734,58003,18975362,0.153039609995319,0.216736106738725,0.0923050281420028,0.144150118542809,0.178994894712915,0.332032403153116,NA,NA,0
"OHIO",2013,4,223.887746136742,48308,11230706,0.157946704330075,0.228284164252633,0.0996613463504167,0.119929278874835,0.0318101335198912,0.251527137346834,NA,NA,0
"OKLAHOMA",2013,4,216.988876495215,45339,3671393,0.168514512066673,0.237187108086325,0.0704656369643367,0.0712454784293277,0.0911681250333488,0.234735003639982,NA,NA,0
"OREGON",2013,4,219.132674237737,50229,3793058,0.162079778374072,0.217061317878196,0.112962920404375,0.0171175434982259,0.119393722111261,0.297032755094592,NA,NA,0
"PENNSYLVANIA",2013,4,226.402323612221,52548,12318805,0.133034007762928,0.187635123592064,0.0895160695701271,0.104719354483225,0.0592002548663024,0.27541943645425,NA,NA,0
"RHODE ISLAND",2013,4,222.802239753732,56361,1010872,0.135767931053585,0.195257110636607,0.0991625293733105,0.0525485050323525,0.12866563024451,0.313363033018318,NA,NA,0
"SOUTH CAROLINA",2013,4,213.64654387011,44779,4537414,0.180787558728386,0.263530533884419,0.114281570325811,0.275639253081779,0.0515958408428751,0.250569189702854,NA,NA,0
"SOUTH DAKOTA",2013,4,217.930744868492,49495,796095,0.14079475439489,0.181646362861583,0.0504259576965876,0.0136682347751691,0.029808603510915,0.2616418287822,NA,NA,0
"TENNESSEE",2013,4,219.735394665222,44298,6242898,0.176477655089031,0.253394869853392,0.101382686169617,0.166520393097137,0.0468823580955041,0.238438210942345,NA,NA,0
