"grade","state","n","pos_share","neg_share"
"Grade 4","ALABAMA",2,0,1
"Grade 4","ALASKA",2,0,1
"Grade 4","ARIZONA",2,0,1
"Grade 4","ARKANSAS",2,0,1
"Grade 4","CALIFORNIA",2,0,1
"Grade 4","COLORADO",2,0,1
"Grade 4","CONNECTICUT",2,0,1
"Grade 4","DELAWARE",2,0,1
"Grade 4","DISTRICT OF COLUMBIA",2,0,1
"Grade 4","FLORIDA",2,0,1
"Grade 4","GEORGIA",2,0,1
"Grade 4","HAWAII",2,0,1
"Grade 4","IDAHO",2,0,1
"Grade 4","ILLINOIS",2,0,1
"Grade 4","INDIANA",2,0,1
"Grade 4","IOWA",2,0,1
"Grade 4","KANSAS",2,0,1
"Grade 4","KENTUCKY",2,0,1
"Grade 4","LOUISIANA",2,0,1
"Grade 4","MAINE",2,0,1
"Grade 4","MARYLAND",2,0,1
"Grade 4","MASSACHUSETTS",2,0,1
"Grade 4","MICHIGAN",2,0,1
"Grade 4","MINNESOTA",2,0,1
"Grade 4","MISSISSIPPI",2,0,1
"Grade 4","MISSOURI",2,0,1
"Grade 4","MONTANA",2,0,1
"Grade 4","NEBRASKA",2,0,1
"Grade 4","NEVADA",2,0,1
"Grade 4","NEW HAMPSHIRE",2,0,1
"Grade 4","NEW JERSEY",2,0,1
"Grade 4","NEW MEXICO",2,0,1
"Grade 4","NEW YORK",2,0,1
"Grade 4","NORTH CAROLINA",2,0,1
"Grade 4","NORTH DAKOTA",2,0,1
"Grade 4","OHIO",2,0,1
"Grade 4","OKLAHOMA",2,0,1
"Grade 4","OREGON",2,0,1
"Grade 4","PENNSYLVANIA",2,0,1
"Grade 4","RHODE ISLAND",2,0,1
"Grade 4","SOUTH CAROLINA",2,0,1
"Grade 4","SOUTH DAKOTA",2,0,1
"Grade 4","TENNESSEE",2,0,1
"Grade 4","TEXAS",2,0,1
"Grade 4","UTAH",2,0,1
"Grade 4","VERMONT",2,0,1
"Grade 4","VIRGINIA",2,0,1
"Grade 4","WASHINGTON",2,0,1
"Grade 4","WEST VIRGINIA",2,0,1
"Grade 4","WISCONSIN",2,0,1
"Grade 4","WYOMING",2,0,1
"Grade 8","ALABAMA",2,1,0
"Grade 8","ALASKA",2,1,0
"Grade 8","ARIZONA",2,1,0
"Grade 8","ARKANSAS",2,1,0
"Grade 8","CALIFORNIA",2,1,0
"Grade 8","COLORADO",2,1,0
"Grade 8","CONNECTICUT",2,1,0
"Grade 8","DELAWARE",2,1,0
"Grade 8","DISTRICT OF COLUMBIA",2,1,0
"Grade 8","FLORIDA",2,1,0
"Grade 8","GEORGIA",2,1,0
"Grade 8","HAWAII",2,1,0
"Grade 8","IDAHO",2,1,0
"Grade 8","ILLINOIS",2,1,0
"Grade 8","INDIANA",2,1,0
"Grade 8","IOWA",2,1,0
"Grade 8","KANSAS",2,1,0
"Grade 8","KENTUCKY",2,1,0
"Grade 8","LOUISIANA",2,1,0
"Grade 8","MAINE",2,1,0
"Grade 8","MARYLAND",2,1,0
"Grade 8","MASSACHUSETTS",2,1,0
"Grade 8","MICHIGAN",2,1,0
"Grade 8","MINNESOTA",2,1,0
"Grade 8","MISSISSIPPI",2,1,0
"Grade 8","MISSOURI",2,1,0
"Grade 8","MONTANA",2,1,0
"Grade 8","NEBRASKA",2,1,0
"Grade 8","NEVADA",2,1,0
"Grade 8","NEW HAMPSHIRE",2,1,0
"Grade 8","NEW JERSEY",2,1,0
"Grade 8","NEW MEXICO",2,1,0
"Grade 8","NEW YORK",2,1,0
"Grade 8","NORTH CAROLINA",2,1,0
"Grade 8","NORTH DAKOTA",2,1,0
"Grade 8","OHIO",2,1,0
"Grade 8","OKLAHOMA",2,1,0
"Grade 8","OREGON",2,1,0
"Grade 8","PENNSYLVANIA",2,1,0
"Grade 8","RHODE ISLAND",2,1,0
"Grade 8","SOUTH CAROLINA",2,1,0
"Grade 8","SOUTH DAKOTA",2,1,0
"Grade 8","TENNESSEE",2,1,0
"Grade 8","TEXAS",2,1,0
"Grade 8","UTAH",2,1,0
"Grade 8","VERMONT",2,1,0
"Grade 8","VIRGINIA",2,1,0
"Grade 8","WASHINGTON",2,1,0
"Grade 8","WEST VIRGINIA",2,1,0
"Grade 8","WISCONSIN",2,1,0
"Grade 8","WYOMING",2,1,0
