"Grade","Model","term","FE_coefficient","robust_SE","t_statistic","p_value","conf_lower","conf_upper"
"Grade 4","Model 2 (FE)","child_poverty_rate",-24.9372506086496,37.7185776317884,-0.661139739999978,0.509586489299811,-98.8656627669548,48.9911615496557
"Grade 4","Model 2 (FE)","median_income",0.000173492075512786,0.000158863606100048,1.09208194231425,0.276633575417055,-0.000137880592443307,0.00048486474346888
"Grade 4","Model 2 (FE)","internet_rate",25.0216569253728,24.8683154219281,1.00616613955722,0.316035169702511,-23.7202413016063,73.763555152352
"Grade 4","Model 2 (FE)","unemployment_rate",29.6165001426207,75.3901844125687,0.392842919451503,0.695020489707573,-118.148261306014,177.381261591255
"Grade 4","Model 2 (FE)","bach_or_higher_rate",-231.461841505352,56.7752025373223,-4.07681225537145,7.54497759238599e-05,-342.741238478503,-120.1824445322
"Grade 4","Model 2 (FE)","pct_black",-197.336502070365,68.9760346224386,-2.86094298042134,0.00485769663810573,-332.529529930344,-62.1434742103853
"Grade 4","Model 2 (FE)","pct_hispanic",-81.3084903053524,48.9553787531811,-1.660869395277,0.0989307017121831,-177.261032661587,14.6440520508825
"Grade 4","Model 3 (FE + Interactions)","child_poverty_rate",-17.7526958757282,40.2322010023384,-0.441255895363428,0.659708465426685,-96.6078098403115,61.1024180888551
"Grade 4","Model 3 (FE + Interactions)","median_income",0.00023914840252638,0.000156251830216257,1.5305318484615,0.128141597066006,-6.71051846974837e-05,0.000545401989750243
"Grade 4","Model 3 (FE + Interactions)","internet_rate",8.7577587899869,30.221613298663,0.289784622132477,0.772409753903301,-50.4766032753926,67.9921208553664
"Grade 4","Model 3 (FE + Interactions)","unemployment_rate",31.558306944996,74.4895974830263,0.423660591697882,0.672463541696376,-114.441304121736,177.557918011728
"Grade 4","Model 3 (FE + Interactions)","bach_or_higher_rate",-237.568875526424,59.1566623168945,-4.01592764402085,9.6166607765086e-05,-353.515933667537,-121.62181738531
"Grade 4","Model 3 (FE + Interactions)","pct_black",-185.543553602596,77.4324042041894,-2.39620034415201,0.017887199949595,-337.311065842807,-33.7760413623848
"Grade 4","Model 3 (FE + Interactions)","pct_hispanic",-78.206894087553,48.0958432794676,-1.62606347565466,0.106185052322076,-172.474746915309,16.0609587402034
"Grade 4","Model 3 (FE + Interactions)","post2020:child_poverty_rate",10.6854450747609,18.2351582935569,0.585980384855579,0.558832202675633,-25.0554651806106,46.4263553301323
"Grade 4","Model 3 (FE + Interactions)","post2020:median_income",-1.61963759851854e-05,7.25918652604193e-05,-0.223115578130991,0.823770765260995,-0.000158476431895607,0.000126083679925236
"Grade 4","Model 3 (FE + Interactions)","post2020:internet_rate",-1.74781241447496,32.6501000013636,-0.0535316098389273,0.957384657361235,-65.7420084171476,62.2463835881977
"Grade 8","Model 2 (FE)","child_poverty_rate",12.3189699557407,23.6125544148987,0.521712718551446,0.602677489876241,-33.9616366974607,58.5995766089422
"Grade 8","Model 2 (FE)","median_income",0.000302172201322033,0.000112941046365533,2.67548611462351,0.00833265413104965,8.08077504455883e-05,0.000523536652198478
"Grade 8","Model 2 (FE)","internet_rate",43.6482193806605,16.4823243063988,2.64818350672273,0.00900145233087634,11.3428637401188,75.9535750212021
"Grade 8","Model 2 (FE)","unemployment_rate",93.6711610983954,46.7909924762951,2.00190584001505,0.0471862982536095,1.96081584485692,185.381506351934
"Grade 8","Model 2 (FE)","bach_or_higher_rate",-127.224757867919,54.9081539493419,-2.31704671742009,0.0219210535767442,-234.844739608629,-19.6047761272092
"Grade 8","Model 2 (FE)","pct_black",-220.240996446557,48.9539501321291,-4.49894228866344,1.4030549384998e-05,-316.19073870553,-124.291254187584
"Grade 8","Model 2 (FE)","pct_hispanic",-74.3333132683727,36.7604749124231,-2.02209882884979,0.0450309943069141,-146.383844096722,-2.28278244002351
"Grade 8","Model 3 (FE + Interactions)","child_poverty_rate",-21.195743681847,24.6905714408219,-0.858454966611395,0.392108648097428,-69.5892637058579,27.1977763421639
"Grade 8","Model 3 (FE + Interactions)","median_income",9.07466199365825e-05,0.000148397143322062,0.611511905856824,0.541852454305565,-0.000200111780974659,0.000381605020847824
"Grade 8","Model 3 (FE + Interactions)","internet_rate",46.2662085171428,18.307909861749,2.52711581313864,0.012611860429326,10.3827051881147,82.1497118461708
"Grade 8","Model 3 (FE + Interactions)","unemployment_rate",83.4149181102878,43.8041090802816,1.90427153665903,0.058926399530107,-2.44113568706425,169.27097190764
"Grade 8","Model 3 (FE + Interactions)","bach_or_higher_rate",-107.48246715662,53.135542285282,-2.02279797163925,0.0449979833440054,-211.628130035773,-3.33680427746752
"Grade 8","Model 3 (FE + Interactions)","pct_black",-153.275327546954,58.2790107496614,-2.63002624058517,0.00949313655635257,-267.502188616291,-39.0484664776181
"Grade 8","Model 3 (FE + Interactions)","pct_hispanic",-61.1464127970848,36.5878851690047,-1.67122020074789,0.0969120558787323,-132.858667728334,10.5658421341644
"Grade 8","Model 3 (FE + Interactions)","post2020:child_poverty_rate",13.8954901414908,13.1802329053063,1.05426742010731,0.293576569901542,-11.9377663529095,39.7287466358911
"Grade 8","Model 3 (FE + Interactions)","post2020:median_income",0.000130080290284689,5.02614406875057e-05,2.58807325268385,0.0106692520873689,3.15678665371779e-05,0.0002285927140322
"Grade 8","Model 3 (FE + Interactions)","post2020:internet_rate",-16.5876847413636,20.2953796060557,-0.817313352267341,0.415138102810999,-56.3666287692328,23.1912592865056
