"feature","mean_shap","mean_abs_shap","mean_abs_shap_frac_of_total","pct_positive","descriptive_corr_x_vs_shap_marginal_naive"
"bach_or_higher_rate",1.16216703560934,1.86574133341292,0.200004662479259,0.509803921568627,0.769127943438389
"year_scaled",-1.84829836616329,1.84829836616329,0.198134802646644,0,0.0173317215044858
"child_poverty_rate",1.10116645193878,1.49760668297919,0.16054118209839,0.901960784313726,-0.897199971716905
"median_income",-1.34618777445262,1.35963888100677,0.145751241407082,0.0490196078431373,-0.285922607148729
"pct_black",-0.0705661711319551,0.754727928744008,0.0809056978847068,0.627450980392157,-0.793192976061692
"pct_hispanic",-0.0903658552880527,0.472541210999457,0.0506557065124365,0.813725490196078,-0.86556840886372
"unemployment_rate",-0.357197251549794,0.365309011624834,0.0391605761539327,0.0294117647058824,0.00890135206709189
"gini_coefficient",-0.0894345510385784,0.216483351938865,0.0232066894598453,0.343137254901961,-0.498403748860862
"internet_rate",0.173739291494712,0.188484802874097,0.0202052871457505,0.901960784313726,0.291009058267651
"no_computer_rate",0.022791581242642,0.167650885646592,0.0179719225798352,0.53921568627451,-0.76381775784313
"stateALASKA",0.0201481290745969,0.103417669075961,0.0110862184524223,0.980392156862745,NA
"stateDISTRICT OF COLUMBIA",0.0207328847518154,0.0963317884826193,0.0103266227190485,0.980392156862745,NA
"stateHAWAII",0.018846472707011,0.0710857878895659,0.00762028945776605,0.980392156862745,NA
"stateMASSACHUSETTS",-0.00943279018004735,0.0489433721876612,0.00524665582505133,0.0196078431372549,NA
"stateKENTUCKY",-0.0167184011901126,0.0345992482468194,0.00370898733051206,0.0196078431372549,NA
"stateALABAMA",0.00388939335357909,0.0282210296421659,0.00302525189709637,0.980392156862745,NA
"stateINDIANA",-0.000702719742833984,0.0206700256368255,0.00221579563409714,0.0196078431372549,NA
"statePENNSYLVANIA",-0.00674214336893284,0.0174009699748792,0.00186535778797971,0.0196078431372549,NA
"stateVIRGINIA",0.00892349761039334,0.0139146403835541,0.00149162850369091,0.980392156862745,NA
"stateCOLORADO",0.00817362695256723,0.0134730204054173,0.00144428750679625,0.980392156862745,NA
"stateGEORGIA",-0.00759717535830158,0.0134487281252137,0.0014416834109251,0.0196078431372549,NA
"stateNEW JERSEY",-0.00121154223440909,0.0116630221041394,0.00125025841345301,0.0196078431372549,NA
"stateNEVADA",0.00382960616273112,0.0106801605331438,0.00114489713252387,0.980392156862745,NA
"stateOHIO",-0.00127613840524253,0.00951924398039267,0.00102044862557311,0.0196078431372549,NA
"stateDELAWARE",0.00367721922549547,0.00919194585260223,0.000985362758949211,0.980392156862745,NA
"stateCONNECTICUT",0.00485718126098315,0.00918369250846844,0.000984478012881661,0.980392156862745,NA
"stateOKLAHOMA",0.00117550374638727,0.00913852066778596,0.000979635659556755,0.980392156862745,NA
"stateKANSAS",0.00311220731750569,0.0091369749804703,0.000979469964203208,0.980392156862745,NA
"stateNEW MEXICO",0.00102672393105048,0.00886531089724717,0.000950347983412126,0.980392156862745,NA
"stateUTAH",-0.0068436690638134,0.00783556924137634,0.000839961227952011,0.0196078431372549,NA
"stateWISCONSIN",-0.001314368996057,0.00517479967846371,0.00055473073601026,0.0196078431372549,NA
"stateTENNESSEE",-0.00199565580502773,0.00482533817914515,0.000517268989320621,0.0196078431372549,NA
"stateFLORIDA",-0.00307923323913094,0.00459308822310584,0.000492372143634358,0.0196078431372549,NA
"stateMISSOURI",0.00147200144904976,0.00427062768493688,0.000457804859335956,0.980392156862745,NA
"stateNORTH DAKOTA",0.00251736345600483,0.0041389697226787,0.000443691323963941,0.96078431372549,NA
"stateWASHINGTON",-0.000985899937850441,0.00341183885557614,0.000365743989545899,0.0196078431372549,NA
"stateRHODE ISLAND",0.00169069007125811,0.00338886124333002,0.000363280824100849,0.980392156862745,NA
"stateWEST VIRGINIA",0.000373824062419361,0.00333769394965915,0.000357795767240422,0.980392156862745,NA
"stateMARYLAND",0.00102152276733749,0.00224021772717998,0.000240147968199364,0.774509803921569,NA
"stateNEW HAMPSHIRE",-0.000533415108471744,0.00146704305342271,0.000157264807016747,0.0196078431372549,NA
"stateNEW YORK",0.000841850695923866,0.00133745829539383,0.00014337351601736,0.980392156862745,NA
"stateSOUTH CAROLINA",-0.00102355953662054,0.00111185227219454,0.000119188889930569,0.0196078431372549,NA
"stateIDAHO",0.00080688657380604,0.000982945838568769,0.000105370314286128,0.980392156862745,NA
"stateMAINE",0.000864186083644574,0.000944353682593917,0.000101233293257614,0.980392156862745,NA
"stateSOUTH DAKOTA",0.000662186525718711,0.000797469214839843,8.54874994165887e-05,0.980392156862745,NA
"stateMICHIGAN",0.00028922625043539,0.00067767326311464,7.26455537180646e-05,0.980392156862745,NA
"stateNEBRASKA",-0.000288146840152787,0.000577673781663179,6.19257598336602e-05,0.0196078431372549,NA
"stateARIZONA",0.000141917111428555,0.000571250755598942,6.12372211080249e-05,0.892156862745098,NA
"stateILLINOIS",-0.000216932396213844,0.000457395958815765,4.90321582761858e-05,0.0196078431372549,NA
"stateARKANSAS",-0.000380039960088884,0.000399906223345384,4.28693451718942e-05,0.0196078431372549,NA
"stateLOUISIANA",0.000140318096978887,0.000158631233752399,1.70050294738769e-05,0.980392156862745,NA
"stateMISSISSIPPI",0.00011928410387162,0.00013713400467703,1.47005588763404e-05,0.980392156862745,NA
"stateNORTH CAROLINA",-5.52510819569066e-05,8.96777519123063e-05,9.61332001489727e-06,0.0196078431372549,NA
"stateTEXAS",6.31595709873021e-05,8.28852578920572e-05,8.88517488053013e-06,0.980392156862745,NA
"stateMINNESOTA",-3.76444001149674e-05,7.70624631638616e-05,8.26098005060241e-06,0.0196078431372549,NA
"stateWYOMING",2.02127134798502e-05,2.21217109730573e-05,2.37141411694868e-06,0.980392156862745,NA
"stateOREGON",-5.57677719602818e-07,5.26271936656022e-06,5.64155594230481e-07,0.0196078431372549,NA
"stateMONTANA",-3.60114449458528e-06,4.60530958769275e-06,4.93682255521501e-07,0.0196078431372549,NA
"stateVERMONT",-1.8985621666696e-06,2.18336629522056e-06,2.34053580270623e-07,0.0196078431372549,NA
"stateCALIFORNIA",0,0,0,0,NA
"stateIOWA",0,0,0,0,NA
