"feature","mean_shap","mean_abs_shap","mean_abs_shap_frac_of_total","pct_positive","descriptive_corr_x_vs_shap_marginal_naive"
"grade8",0.0148986367618336,21.5766819224638,0.686082510516919,0.5,NA
"poverty_rate",1.08183887068584,1.76962920677319,0.0562696179713796,0.838235294117647,-0.950016085786426
"bach_or_higher_rate",0.942619912826237,1.4543930732111,0.0462459267153689,0.544117647058823,0.757325534345591
"median_income",-1.18405691775329,1.18797966494572,0.037774671466999,0.0196078431372549,-0.291352166351377
"internet_rate",-1.11178846903803,1.11572969513124,0.0354773098590733,0.0196078431372549,-0.638791069786172
"unemployment_rate",-0.951414944270273,0.999484991987522,0.0317810298632089,0.132352941176471,0.748483235616408
"pct_black",-0.0996065548080129,0.986229001237399,0.0313595237462853,0.593137254901961,-0.822770816282723
"pct_hispanic",-0.205441496711608,0.700015074041599,0.0222586633627913,0.838235294117647,-0.83660656707874
"stateALASKA",0.025657251915511,0.282807584048486,0.00899254750820621,0.980392156862745,NA
"no_computer_rate",-0.192842216673764,0.211323793479881,0.00671954841266343,0.127450980392157,-0.0387597630620279
"stateMASSACHUSETTS",-0.0320842927139179,0.165565781222255,0.00526456232913168,0.0196078431372549,NA
"stateHAWAII",0.0266797404699758,0.135595920276554,0.00431159849941224,0.980392156862745,NA
"stateDISTRICT OF COLUMBIA",0.019972327557922,0.075396501230916,0.00239741314417968,0.980392156862745,NA
"stateFLORIDA",-0.0144900558698995,0.0719383425061025,0.00228745266794835,0.0196078431372549,NA
"stateKENTUCKY",-0.00664227258633165,0.0644540528894639,0.00204947167401836,0.0196078431372549,NA
"stateINDIANA",-0.00773218843866797,0.0524298897853085,0.00166713448060703,0.0196078431372549,NA
"stateNEW JERSEY",-0.0116406952660969,0.0435398097159158,0.00138445299720641,0.0196078431372549,NA
"stateOKLAHOMA",0.00399765770827584,0.0374912367266256,0.00119212406746413,0.980392156862745,NA
"stateNEW MEXICO",0.000798994474405167,0.0352384647281439,0.00112049176209417,0.980392156862745,NA
"stateNEBRASKA",-0.0119145329055541,0.0350672097730578,0.00111504629879512,0.0196078431372549,NA
"stateNORTH CAROLINA",-0.00736860193622609,0.0315865011675758,0.00100436879485784,0.0196078431372549,NA
"stateALABAMA",0.00512431107242318,0.0305098238054152,0.000970133247876968,0.980392156862745,NA
"statePENNSYLVANIA",-0.00452541695067696,0.0302339526733347,0.000961361261546677,0.0196078431372549,NA
"stateWEST VIRGINIA",0.00215358753670372,0.0297690464786309,0.000946578450623131,0.980392156862745,NA
"stateGEORGIA",-0.00732781921568162,0.0288199022065337,0.000916398125057631,0.0196078431372549,NA
"stateRHODE ISLAND",0.00188337213887066,0.0269855010162299,0.000858068926042628,0.980392156862745,NA
"stateNEW HAMPSHIRE",-0.00828881220955986,0.026256066132976,0.000834874789068283,0.0196078431372549,NA
"stateILLINOIS",0.00130890529401893,0.0214197786168798,0.000681093392440733,0.980392156862745,NA
"stateMISSOURI",0.00070938030851311,0.0191161109650435,0.000607842737328511,0.980392156862745,NA
"stateOHIO",-0.00302854617920649,0.018780815536065,0.000597181212516446,0.0196078431372549,NA
"stateWASHINGTON",-0.00422695193521898,0.0181599721225782,0.000577440002570748,0.0196078431372549,NA
"stateMARYLAND",-0.00573341203990447,0.0171666706925915,0.000545855593937658,0.0196078431372549,NA
"stateMICHIGAN",0.000715846394407837,0.0159532467391817,0.000507271860105531,0.980392156862745,NA
"stateWYOMING",-0.00175053422329559,0.0150597971516225,0.000478862481024186,0.0833333333333333,NA
"stateVIRGINIA",0.0039416084307638,0.0134038628946334,0.00042620806750645,0.426470588235294,NA
"stateSOUTH CAROLINA",0.000803861773901564,0.0114155823031586,0.000362985902730927,0.980392156862745,NA
"stateTEXAS",-0.00323116269496763,0.00982194271180596,0.000312312297974484,0.0196078431372549,NA
"stateDELAWARE",0.00289853901759831,0.00892680808821894,0.000283849339118803,0.980392156862745,NA
"stateMINNESOTA",-0.000145415113508409,0.00883092199379176,0.000280800410065455,0.0196078431372549,NA
"stateKANSAS",-3.57307861693199e-05,0.0086583225070439,0.000275312194147575,0.965686274509804,NA
"stateNEVADA",2.31813556085542e-05,0.00841897854515278,0.00026770167706986,0.980392156862745,NA
"stateWISCONSIN",0.0001371194872156,0.00774061815258499,0.000246131576400971,0.5,NA
"stateCONNECTICUT",0.00377116030803309,0.00751691636017482,0.000239018439733552,0.446078431372549,NA
"stateLOUISIANA",-0.00186018974008952,0.00629802632793857,0.000200260898774947,0.96078431372549,NA
"stateCOLORADO",-0.00259661612106392,0.00409415487320075,0.000130183503837364,0.529411764705882,NA
"stateARIZONA",-0.00135571498243485,0.00325627016490234,0.000103540943769098,0.0196078431372549,NA
"stateIOWA",-0.00145847531430442,0.00270947635313039,8.61543190571194e-05,0.0196078431372549,NA
"stateUTAH",0.000672902668888056,0.00268866438021659,8.54925523092559e-05,0.0882352941176471,NA
"stateMONTANA",-0.00100825379748433,0.00234615159160521,7.46015341842683e-05,0.0588235294117647,NA
